source_file,problem,convergence_rate,average_time
resultados_2/results.csv,APPLE,13.0,0.45344952821731566
resultados_2/results.csv,DANGER,1.0,0.5385896158218384
resultados_2/results.csv,MONEY,28.999999999999996,0.3973287320137024
resultados_2/results.csv,OASIS,0.0,0.5041956329345703
resultados_2/results.csv,ROBERT,3.0,0.5278621864318848
resultados_2/results_2.csv,APPLE,4.0,0.5034374666213989
resultados_2/results_2.csv,DANGER,2.0,0.5687193417549133
resultados_2/results_2.csv,MONEY,23.0,0.4838446307182312
resultados_2/results_2.csv,OASIS,0.0,0.4431031274795532
resultados_2/results_2.csv,ROBERT,4.0,0.47651559352874756
resultados_2/results_3.csv,APPLE,4.0,0.13509945631027218
resultados_2/results_3.csv,DANGER,1.0,0.16228776931762692
resultados_2/results_3.csv,MONEY,11.0,0.148547887802124
resultados_2/results_3.csv,OASIS,0.0,0.14403572082519528
resultados_2/results_3.csv,ROBERT,0.0,0.15377008676528928
resultados_2/results_4.csv,APPLE,16.0,0.5426691246032714
resultados_2/results_4.csv,DANGER,2.0,0.6823166251182556
resultados_2/results_4.csv,MONEY,28.999999999999996,0.490276837348938
resultados_2/results_4.csv,OASIS,0.0,0.6442328095436096
resultados_2/results_4.csv,ROBERT,5.0,0.6608121085166931
resultados_2/results_5.csv,APPLE,5.0,0.5184918475151062
resultados_2/results_5.csv,DANGER,1.0,0.5066784715652466
resultados_2/results_5.csv,MONEY,25.0,0.36832396030426023
resultados_2/results_5.csv,OASIS,0.0,0.48431082010269166
resultados_2/results_5.csv,ROBERT,1.0,0.5577984738349915
