problem,convergence_rate,average_time
APPLE,13.0,0.45344952821731566
DANGER,1.0,0.5385896158218384
MONEY,28.999999999999996,0.3973287320137024
OASIS,0.0,0.5041956329345703
ROBERT,3.0,0.5278621864318848
