problem,converged,execution_time,best_solution
MONEY,True,0.28745293617248535,"[0, 7, 4, 2, 8, 1, 9, 5]"
MONEY,True,0.24383282661437988,"[8, 1, 2, 4, 0, 9, 3, 7]"
MONEY,False,0.4657108783721924,
MONEY,False,0.3707611560821533,
MONEY,False,0.5055966377258301,
MONEY,True,0.27361488342285156,"[3, 8, 2, 9, 0, 4, 1, 7]"
MONEY,False,0.38150644302368164,
MONEY,False,0.46144795417785645,
MONEY,False,0.42550063133239746,
MONEY,False,0.36956191062927246,
MONEY,True,0.03577113151550293,"[5, 8, 4, 9, 0, 6, 3, 7]"
MONEY,False,0.36638474464416504,
MONEY,False,0.45450425148010254,
MONEY,True,0.10594773292541504,"[0, 5, 3, 8, 2, 4, 9, 7]"
MONEY,False,0.3812286853790283,
MONEY,False,0.39566731452941895,
MONEY,False,0.4728853702545166,
MONEY,False,0.34055495262145996,
MONEY,True,0.3185005187988281,"[7, 5, 3, 1, 0, 8, 2, 6]"
MONEY,True,0.03653097152709961,"[3, 5, 7, 4, 9, 6, 1, 0]"
MONEY,False,0.3625907897949219,
MONEY,False,0.3414120674133301,
MONEY,False,0.38667726516723633,
MONEY,False,0.3499293327331543,
MONEY,False,0.3629930019378662,
MONEY,False,0.38703155517578125,
MONEY,False,0.3590219020843506,
MONEY,False,0.35688209533691406,
MONEY,True,0.13128280639648438,"[0, 9, 5, 8, 6, 4, 3, 7]"
MONEY,True,0.0791769027709961,"[5, 7, 3, 2, 0, 6, 4, 9]"
MONEY,True,0.2526106834411621,"[7, 6, 4, 9, 0, 8, 1, 5]"
MONEY,False,0.3808615207672119,
MONEY,False,0.4985795021057129,
MONEY,False,0.35913991928100586,
MONEY,False,0.37557363510131836,
MONEY,False,0.36826205253601074,
MONEY,False,0.3777015209197998,
MONEY,False,0.38541579246520996,
MONEY,False,0.3833773136138916,
MONEY,True,0.04373621940612793,"[5, 7, 3, 2, 0, 6, 4, 9]"
MONEY,True,0.19182538986206055,"[7, 6, 4, 9, 0, 8, 1, 5]"
MONEY,True,0.2720968723297119,"[3, 2, 6, 0, 8, 9, 1, 4]"
MONEY,False,0.37217164039611816,
MONEY,True,0.20554161071777344,"[5, 8, 4, 9, 0, 6, 3, 7]"
MONEY,False,0.35016560554504395,
MONEY,False,0.40239524841308594,
MONEY,False,0.3535182476043701,
MONEY,True,0.0677180290222168,"[9, 8, 0, 2, 1, 4, 6, 3]"
MONEY,True,0.1025242805480957,"[9, 0, 2, 3, 8, 4, 5, 7]"
MONEY,False,0.49862003326416016,
MONEY,False,0.3748934268951416,
MONEY,True,0.08188009262084961,"[2, 6, 5, 1, 8, 0, 3, 7]"
MONEY,False,0.3480651378631592,
MONEY,True,0.14716172218322754,"[6, 4, 8, 2, 3, 1, 9, 0]"
MONEY,False,0.3985004425048828,
MONEY,False,0.3782060146331787,
MONEY,False,0.34418630599975586,
MONEY,False,0.3820059299468994,
MONEY,True,0.2221994400024414,"[3, 6, 8, 9, 0, 5, 7, 1]"
MONEY,False,0.36087656021118164,
MONEY,False,0.3846781253814697,
MONEY,False,0.3603861331939697,
MONEY,False,0.3592817783355713,
MONEY,False,0.36489200592041016,
MONEY,False,0.4470045566558838,
MONEY,False,0.35727763175964355,
MONEY,True,0.15833687782287598,"[3, 8, 2, 9, 0, 4, 5, 7]"
MONEY,False,0.3491530418395996,
MONEY,True,0.0350191593170166,"[6, 9, 7, 4, 0, 2, 3, 1]"
MONEY,True,0.2709007263183594,"[6, 8, 5, 1, 0, 7, 3, 9]"
MONEY,False,0.3687915802001953,
MONEY,False,0.3543386459350586,
MONEY,False,0.33750295639038086,
MONEY,True,0.3130478858947754,"[7, 5, 3, 1, 0, 8, 2, 6]"
MONEY,False,0.433485746383667,
MONEY,True,0.9770553112030029,"[9, 7, 1, 6, 3, 4, 5, 0]"
MONEY,False,0.5230898857116699,
MONEY,False,0.6183128356933594,
MONEY,False,0.361891508102417,
MONEY,False,0.61179518699646,
MONEY,False,0.5471818447113037,
MONEY,False,0.6167058944702148,
MONEY,False,0.5743007659912109,
MONEY,False,0.40647029876708984,
MONEY,False,0.3847081661224365,
MONEY,False,0.42378926277160645,
MONEY,False,0.5209140777587891,
MONEY,False,0.409623384475708,
MONEY,False,0.41261911392211914,
MONEY,False,0.9879045486450195,
MONEY,False,0.42667651176452637,
MONEY,True,0.10870075225830078,"[6, 8, 5, 3, 0, 7, 2, 1]"
MONEY,False,0.6138873100280762,
MONEY,False,0.38603639602661133,
MONEY,False,0.4062314033508301,
MONEY,False,0.5238132476806641,
MONEY,False,0.5968968868255615,
MONEY,False,0.42917871475219727,
MONEY,False,0.44945406913757324,
MONEY,False,0.5312919616699219,
APPLE,False,0.43607044219970703,
APPLE,False,0.4504354000091553,
APPLE,False,0.6250829696655273,
APPLE,True,0.055176496505737305,"[4, 2, 3, 0, 1, 5, 8, 9]"
APPLE,False,0.8446352481842041,
APPLE,False,0.6459751129150391,
APPLE,False,0.6227817535400391,
APPLE,False,0.6230900287628174,
APPLE,False,0.6203954219818115,
APPLE,False,0.7915630340576172,
APPLE,False,0.8950438499450684,
APPLE,False,0.7788071632385254,
APPLE,False,0.6601288318634033,
APPLE,False,0.6239025592803955,
APPLE,False,0.9608781337738037,
APPLE,False,0.49898219108581543,
APPLE,False,0.5168313980102539,
APPLE,False,0.5449600219726562,
APPLE,False,0.6564891338348389,
APPLE,False,0.5856180191040039,
APPLE,False,0.5420539379119873,
APPLE,False,0.45376133918762207,
APPLE,False,0.5122814178466797,
APPLE,False,0.7880229949951172,
